gradingSystemID,gradingSystem,criteria
1,Job Knowledge,the extent the trainee knows and understand the deatails and nature of their duties assigned job related to duties
2,Quality of Work,the amount of aceptable work accomplished and the ability to complete work within time schedule
3,Dependability,"the degree to which trainee can be depended upon to carry out instructions, be on the job, fulfill responsibilities, eetc."
4,Organization,the ability to plan and organize work effectively attaining the objective of their job
5,Initiative,the extent to which the trainee is a self-starter in attaining the objectives of their job
6,Industry,the extent to which the trainee may be described as a hard-worker and the amount of concentration and effort exerted in the performance of their job
7,Attainment of the objective,overall extend to which thr trainee successfully accomplished the task or functions assigned or delivered the desired result
8,Attitude toward work and the establishment,"the nature of the trainee's feeling about the establishment, their interest on the job"
9,Punctuality,the nature of the trainee's feelings toward time and punctuality
10,Cooperation,the extent to the trainee's cooperation with the employees of the establishment including the ability to act with the supervisors and/or the executive for the benefit of the establishment
11,Physical attributes,"personal cleanliness, poise, property of attire, and general bearing"
12,Communication,ability to express as well as comprehend ideas both orally and in writing
